marker,n_tokens,mean,std,median,p5,p25,p75,p95,p99,min,max
CD3,816640,0.060622625052928925,0.078678198158741,0.03193828463554382,0.004669730993919075,0.018475106917321682,0.06414554454386234,0.23265836611390078,0.38544077157974227,0.0,1.0
Chromogranin A,816640,0.015611056238412857,0.03648382052779198,0.0008539443952031434,0.0,0.0,0.012645566137507558,0.08885393366217599,0.17774085626006123,0.0,0.9943928122520447
CD163,816640,0.025162149220705032,0.053889140486717224,0.0058373576030135155,9.559464160702208e-06,0.001428094954462722,0.02062114793807268,0.12810236141085624,0.27285136878490435,0.0,0.981779158115387
CD57,816640,0.11089637130498886,0.06923466175794601,0.09873510897159576,0.021239383891224862,0.06520860455930233,0.14317484200000763,0.23384468927979415,0.3412962543964383,0.0,1.0
CD45RO,816640,0.06855779886245728,0.08263030648231506,0.03697611391544342,0.0004062035630340688,0.01094521232880652,0.09706288762390614,0.24028181359171846,0.36579273611307134,0.0,0.9529444575309753
CD68,816640,0.04583165422081947,0.06859695911407471,0.02371477335691452,0.0018759440863505006,0.009473183192312717,0.051075722090899944,0.17134827151894558,0.35124590277671797,0.0,1.0
CD31,816640,0.006492734886705875,0.024778937920928,0.00016668760508764535,0.0,0.0,0.0018329685553908348,0.033662402443587675,0.12765164658427236,0.0,0.862371563911438
Podoplanin,816640,0.0711372047662735,0.07393021136522293,0.050574950873851776,0.005598650709725917,0.023646249435842037,0.09073794819414616,0.21187157630920406,0.35702427625656113,0.0,0.9993855357170105
CD34,816640,0.020549772307276726,0.05328463017940521,0.003928040154278278,0.0,0.0005930777406319976,0.014706912683323026,0.10046152621507626,0.2816421335935592,0.0,0.9486298561096191
CD38,816640,0.0815897211432457,0.08258634805679321,0.05456873029470444,0.009223274514079095,0.027361977845430374,0.11066552251577377,0.23141812458634375,0.40400695204734743,0.0,1.0
CD138,816640,0.008261903189122677,0.025485683232545853,0.00019868792151100934,0.0,0.0,0.004150087013840675,0.045722648315131634,0.12427669897675492,0.0,0.9476350545883179
MMP12,816640,0.08958326280117035,0.05842045694589615,0.0769292414188385,0.017054112534970044,0.05322915408760309,0.1128868069499731,0.20046000629663466,0.28871495634317396,0.0,1.0
